N,P,K,temperature,humidity,ph,rainfall,label
83.04717079754431,39.68012715007603,43.752255979032284,25.881129432782426,72.24482405673082,5.879128197255073,239.19601007918214,rice
76.83757407656418,47.86559073996569,35.7347803621321,25.758795949725656,85.88895967714474,6.426412279024487,264.1810301742008,rice
84.67509342252046,41.12566029693409,41.843753920412496,22.082234798342004,86.39225150653637,6.380029635605499,231.3784409113685,rice
73.1907045559606,57.780330709392246,39.227352589655986,23.143344355673786,80.23933224755885,6.6129236742213395,245.13610160910196,rice
84.12732611595989,51.44656802406306,50.70823800435231,23.18716996723077,79.43878635464232,6.07449090870085,251.3994855643874,rice
91.28972292720891,47.088420338761,35.79921761518736,22.35103756861752,85.2529639391235,6.697301668481377,249.57885670762988,rice
73.34490292711305,49.85729058453376,40.58342904570364,24.437377193458026,86.35714388974095,6.489438219509873,252.97283907679736,rice
80.67579069488892,50.312955189519876,43.1564411291927,21.085688360288668,80.4016439182135,6.211850938282883,220.02805379391646,rice
77.24857748773316,59.95953048987516,35.670844421533786,25.936556709182963,73.58565114192098,6.266045988005691,240.06882662762513,rice
85.86222331359278,53.68981263834284,43.96673617599963,23.302549855503123,79.68824103667717,6.743190352502862,231.21739187795964,rice
67.24313676662078,38.93370228797215,35.402738569991946,24.994321488107527,82.71212868035282,6.676194141627108,225.31868384158665,rice
81.58539691076714,53.004723151738695,38.45326730139881,24.913550475114825,78.69037029466675,6.254778461373972,226.45655265004177,rice
68.0416035441096,51.895779846284654,37.65298829898638,24.024988237455375,84.40373329452954,6.578612470411978,252.63462772431967,rice
79.01514515490577,44.61361350364677,39.601408945468,20.62533113208394,74.76443763788457,5.870920155058239,211.06882930996295,rice
83.99774226723437,40.75616755711951,38.109187229803055,26.59845659557213,80.21868014469287,6.695006227386835,212.65955799975308,rice
77.9456244213237,40.39982356071535,38.30483462049719,25.68061627491479,73.36339788403825,6.573769457418344,241.94339005830696,rice
74.05850044303206,36.43153716489236,40.360647538569346,22.941014581872395,83.16338105677352,6.408740858209377,276.04447228302286,rice
77.60644372526976,39.81202005902508,40.89637817478158,24.43999336794353,88.79593787620219,6.734044498365832,244.92177647873774,rice
94.63302891219561,38.48989556541719,36.80124233625126,22.14684811718895,80.05095098422116,5.8493255409774765,251.87877367036012,rice
77.77777302901227,36.23354964397873,34.92210459396229,24.62702769490039,86.1906328394719,7.198692356676715,308.8465616501832,rice
84.14409433275996,40.08369503974509,29.339768596343454,24.535422924687673,77.93529452344836,6.233857095928126,220.6975800235048,rice
78.59209113583614,56.52784184630115,40.785242837226725,23.682730325922623,76.82173123587094,5.730126822118257,223.84230227316672,rice
79.4621744918168,62.14343930863906,40.65137260736443,25.965479022046114,79.50352200730424,5.926022493433191,211.8720809441907,rice
72.74773935464246,65.02775785948131,35.89306660387807,25.67697840747269,77.48536410956487,6.772629205149698,245.62377415264658,rice
78.4336210234191,47.67389979091653,36.72606152285305,24.89214440296416,79.7250825982961,5.909757694493101,204.05156064200952,rice
81.72587917722119,60.63273005128348,40.799958067867195,23.762723347780234,83.42913069801271,6.922400696682731,241.4845625340964,rice
75.89072769166263,56.850309680479114,42.143782192308066,27.071511983991982,82.91617218610953,5.9102123873118,201.79602001885837,rice
96.5092793223125,61.78932576626637,39.102403933587,23.233625357728023,89.30722146121101,5.957181727182605,213.63182452610434,rice
86.43326794689044,44.843159017123284,39.97439066639964,23.673114202950973,83.68787274399467,6.962992744525487,238.26462267254365,rice
86.43938793276858,31.59862319175182,39.75640799034941,22.313539459414258,75.90593469788186,6.0487390532285,227.6469139824797,rice
89.15902542356014,37.38885825808349,40.15315746297209,23.031661133332843,80.3616345281902,6.801103130121842,249.45288592509814,rice
93.37398107442743,46.7639545660008,36.52028694164648,23.552282366239,83.21248395635611,6.470629343381485,208.89029819416584,rice
80.90489781627875,49.82582664111124,52.587370187669606,27.75368922256334,77.7337832472059,6.28504665538033,199.41394995407492,rice
74.09292986036513,50.52484002872272,46.029268104441165,22.541832324512782,78.72926779966102,5.541084388104538,231.93335198637732,rice
69.37585588140436,43.76448458107141,35.61569610916206,23.811474891494885,73.21135804321685,5.813181901843604,289.2311778007074,rice
67.1257741872597,39.225715372362885,49.18456764160657,29.810134338480815,76.14216685587328,6.252700417284788,244.53888877351272,rice
97.28697644405592,40.1051433725741,38.77361077028945,25.554675152123487,84.1738303723331,6.249537571507961,232.65442588709897,rice
66.25104191630018,46.094610048202675,38.66806254995522,24.464339779252512,79.22336390590492,6.588615409018056,261.3178954454957,rice
81.55429327668466,50.814051267193626,40.26577673788934,24.00016878618283,78.39220983228576,6.5265977046693235,233.56783503966275,rice
100.93168308930595,60.58683921980194,41.929232762782505,22.473885580610464,76.43794264008291,6.876457181235546,242.56873062867845,rice
84.80143403391611,34.04331210420646,44.637192407790906,24.908840676428724,76.4478465779276,6.21139007702002,242.59293010891298,rice
80.52466798356244,45.66263051357156,39.4825586596702,23.49604524358623,82.76281256051234,6.988596789197263,171.83353897671756,rice
77.63149735490316,49.412099370979575,41.479969948435496,23.25617083735742,73.2163910876071,6.531198193485644,279.1837553541046,rice
64.66138595083862,54.910624109585505,38.35737388438553,23.877351308342305,76.73550744648026,6.26621753105765,268.501114867474,rice
